trackID	mediumID	position	titel	dauer
507	63	5	Foul auf Bestellung	551040
508	63	6	Aktion Earphone	494946
509	63	7	Ein riskanter Bluff	255787
510	63	8	Cotta mischt mit	689147
511	64	1	Tante Mathilda ist verschwunden	663707
512	64	2	Rausschmiss der drei ???	625986
513	64	3	Kein Papierkorb für das Lösegeld	603560
514	64	4	Drohung mit einem Ohr	694360
515	64	5	In der Geisterstadt	481014
516	64	6	Hinweis im Schnee	224733
517	64	7	Doppeltes Spiel	249920
518	64	8	High Noon	426267
519	65	1	Gefangen!	358187
520	65	2	Die ewigen Jagdgründe	524093
521	65	3	Beim Lügen ertappt	608747
522	65	4	Ungebetener Besuch	295066
523	65	5	Schritte ins Nichts	481267
524	65	6	Endstation Europa	369133
525	65	7	Kommissar Zufall	326680
526	65	8	Eiskalt erwischt	616000
527	66	1	Räuber in Rom	858480
528	66	2	Abgestürzt	346013
529	66	3	Ein Fotograph gibt sich verschwiegen	389080
530	66	4	Fahndung nach Justus	492920
531	66	5	Unerwartete Begegnung	159454
532	66	6	Entführt	459093
533	66	7	Die Beichte der Spinne	290120
534	66	8	Der Mann im Schatten	559853
535	67	1	Tödliche Gefahr	475547
536	67	2	Eine rätselhafte Tür	400546
537	67	3	Rätsel auf dem Höhlengrund	456000
538	67	4	In der Hand der Räuber	481214
539	67	5	Wie vom Erdboden verschluckt	590786
540	67	6	Erpressung inklusive	496080
541	67	7	Bruder Benedikt beichtet	410574
542	67	8	Wiener Unterwelt	488573
543	68	1	Abgestürzt	496760
544	68	2	Überfall aus der Luft	489840
545	68	3	Verschollen im Wallis	326160
546	68	4	Der letzte Erkundungsflug	477333
547	68	5	Mitten im Spionage-Thriller	687667
548	68	6	Jerzys Plan	438920
549	68	7	Mit dem U-Boot in die Tiefe	298040
550	68	8	Code 999	366507
551	69	1	Die Angst im Nacken	415787
552	69	2	Ein Dummkopf hinterlässt Spuren	570080
553	69	3	Die innere Stimme	635013
554	69	4	Ein Fall für Doktor Ferguson	485707
555	69	5	Das Geheimnis der Glaskugel	401693
556	69	6	Rendezvous mit den Entführern	617387
557	69	7	Ein Plan gerät aus den Fugen	359253
558	69	8	Erna Fiedlers Beichte	457467
559	70	1	Der Schuss!	729720
560	70	2	Sally Samson tobt	402053
561	70	3	Intrigen überall	528174
562	70	4	Keine neue Spur	318600
563	70	5	Justus Jonas jobt	636466
564	70	6	Falsches Spiel	311560
565	70	7	Eine böse Überraschung	368840
566	70	8	Kurssturz	488880
567	71	1	Onkel Titus sitzt in der Patsche	736827
568	71	2	Ein tragischer Segelunfall	567840
569	71	3	Im Reich der Mitte	361520
570	71	4	1:0 für Santoria	330773
571	71	5	Auf Leben und Tod	412973
572	71	6	Lu Kwan schweigt	518907
573	71	7	Bobs Theorie	572707
574	71	8	Zweitausend $ zum Ersten	492893
575	72	1	Bauklötze beschlagnahmt	582867
576	72	2	Ein geheimnisvoller Tipp	619773
577	72	3	Verwüstung mit System	361467
578	72	4	Fettige Marmeladengläser	322840
579	72	5	Hester hofft auf Hilfe	305266
580	72	6	Hakuna matata	245520
581	72	7	Malcolm, der Rebell	576414
582	72	8	Lauras letzte Chance	463746
583	73	1	Doppelte Abfuhr	578787
584	73	2	Miss Madigans Medaillon	419333
585	73	3	Hilferuf in der Nacht	678707
586	73	4	Poltergeister	321800
587	73	5	Terror hinter verschlossener Tür	833093
588	73	6	Schwebendes Geschirr	345893
589	73	7	Der Geistesblitz	425374
590	73	8	Ein alter Bekannter	394333
591	74	1	Eine geheimnisvolle Erbschaft	581480
592	74	2	Gestohlene Informationen	396533
593	74	3	Ein alter Trick	357014
594	74	4	Der undurchsichtige Mr. Whitehead	654306
595	74	5	In der Höhle des Löwen	461267
596	74	6	Das brennende Schwert	552787
597	74	7	Wenn Tag und Nacht sich vereinen	819840
598	74	8	Logische Schlussfolgerungen	618880
599	75	1	Atemlos	382227
600	75	2	Ein Vogel auf dem Drahtseil	425360
601	75	3	Bodyguard	549040
602	75	4	Beethoven	335333
603	75	5	Auf der Flucht	421267
604	75	6	Menschen im Hotel	438826
605	75	7	Fame	468200
606	75	8	Die glorreichen Drei	319347
607	76	1	Der Schrei	662587
608	76	2	Eindeutige Abfuhr	318813
609	76	3	Psychoanalysen	743307
610	76	4	Gespräch unter vier Augen	508000
611	76	5	Dem Wahnsinn nahe	673920
612	76	6	Tiefenhypnose	398986
613	76	7	Der letzte Wille	481614
614	76	8	Das geschenkte Leben	397600
615	77	1	Ein dunkles Vorzeichen	602987
616	77	2	Karen hat viel zu erzählen	599333
617	77	3	Schock im Schnee	577280
618	77	4	Neue Pläne	637960
619	77	5	Observierung	617360
620	77	6	Das Blatt wendet sich	524413
621	78	1	Whisky für Justus	556600
622	78	2	Das leere Grab	564400
623	78	3	Begegnung im Dschungel	555133
624	78	4	Der Lauscher im Schrank	747787
625	78	5	Gefährliches Wissen	671973
626	78	6	Urwaldjagd	353094
627	79	1	Dichter Nebel	609480
628	79	2	Studioluft	592573
629	79	3	Mythen und Rituale	500694
630	79	4	Fotosession	604400
631	79	5	Weichgekocht	667000
632	79	6	70:30	592320
633	79	7	In der Puppenwerkstatt	528733
634	79	8	Showdown	517107
635	80	1	Feuer am Himmel	542200
636	80	2	Das Orangental	660627
637	80	3	Cosma	577466
638	80	4	Die Männer in Schwarz	468080
639	80	5	Ein geheimnisvolles Päckchen	700120
640	80	6	Die Maske fällt	612174
641	81	1	Ein merkwürdiger Streich	495307
642	81	2	Verdeckte Fouls	545333
643	81	3	Der verschwundene Bruder	445240
644	81	4	Kellys Entdeckung	557120
645	81	5	Die Detektive gehen in die Offensive	497480
646	81	6	Foules Spiel	443347
647	82	1	Das Rad des Schicksals	606453
648	82	2	Der Gehängte	566787
649	82	3	Der Eremit	926080
650	82	4	Der Magier	756307
651	82	5	Der Tod	631160
652	82	6	Das Gericht	713080
653	83	1	Die "Wavedancer"	588173
654	83	2	Peter über Bord	610760
655	83	3	Im Sturm	581107
656	83	4	Meuterei	532627
657	83	5	Das Wesen aus der Urzeit	647413
658	83	6	In die Tiefe	598347
659	84	1	Heimlichkeiten	579547
660	84	2	Musik des Teufels	680746
661	84	3	Ertappt	540574
662	84	4	Peisinoes Gesang	513933
663	84	5	Der Fluch der Teufelsgeige	602707
664	84	6	Der fiedelnde Tod	685600
665	85	1	Absender unbekannt	513733
666	85	2	Auf in die Wildnis	419000
667	85	3	Die Botschaft des Königs	544000
668	85	4	Der schwarze Turm	590987
669	85	5	Feuer	730000
670	85	6	Auf heißer Spur	764280
671	86	1	20:28 Uhr – Stromausfall	708707
672	86	2	21:01 Uhr – Erwischt	306240
673	86	3	21:47 Uhr – Lauschangriff	712160
674	86	4	22:36 Uhr – Das Geheimnis des Nachtwächters	523520
675	86	5	23:07 Uhr – Nichts als die Wahrheit	475413
676	86	6	00:00 Uhr – Enthüllung um Mitternacht	731173
677	87	1	Der Mann mit der Maske	422920
678	87	2	Falsche Schlüsse	684933
679	87	3	Das Duell	538574
680	87	4	Unter Polizisten	646200
681	87	5	Der dritte Brief	502813
682	87	6	Der Wolf zeigt seine Krallen	499187
683	88	1	Per E-Mail	609920
684	88	2	Intro	666240
685	88	3	Level 1	770920
686	88	4	Level 2	652787
687	88	5	Level 3	938213
688	88	6	Level 4	858427
689	89	1	Sekundenschlaf	625347
690	89	2	Eine heiße Spur	244106
691	89	3	20. April 1979	928747
692	89	4	Außer Kontrolle	376027
693	89	5	Drogendeal	590146
694	89	6	Operation Morton	821974
695	90	1	Im Gruselkabinett	531893
696	90	2	Das verbrannte Grab	501427
697	90	3	Die vier Zeichen	739200
698	90	4	Die Maske des Feuerteufels	292333
699	90	5	Blutbad	864574
700	90	6	Feuriges Finale	603520
701	91	1	Fragen Sie die Götter	535480
702	91	2	Im Labyrinth	738413
703	91	3	"Utopia"	527960
704	91	4	Im Planetarium	294520
705	91	5	Römisch-Griechisch	809347
706	91	6	Die ganze Wahrheit	691427
707	92	1	Zehn. Neun.	640173
708	92	2	Acht. Sieben.	555014
709	92	3	Sechs. Fünf.	592813
710	92	4	Vier. Drei.	892213
711	92	5	Zwei. Eins.	292400
712	92	6	Null.	596734
713	93	1	Bei Nacht und Nebel	738640
714	93	2	Jagd auf das Geisterschiff	421400
715	93	3	Duncan, der Finstere	477507
716	93	4	Das Tagebuch des Tyrannen	374306
717	93	5	Die Suche nach der Schatzkarte	610667
718	93	6	In Luft aufgelöst	969613
719	94	1	Im Reich der wilden Tiere	686640
720	94	2	Dunnerak	581680
721	94	3	Ein Schrei in der Nacht	540680
722	94	4	Der leere Käfig	687360
723	94	5	Das Geheimnis des Monsters	231040
724	94	6	Affentheater	535320
725	95	1	Die unsichtbare Botschaft	666293
726	95	2	Popol Vuh	465454
727	95	3	Die Telefon-Lawine	670826
728	95	4	Observierung	713800
729	95	5	Melody	481267
730	95	6	Das Geheimnis des heiligen Buches	606160
731	96	1	Ein anonymer Anruf	300547
732	96	2	Angeklagt	298080
733	96	3	Fahrerflucht	573093
734	96	4	Brandstiftung	518560
735	96	5	Im Zeichen des Feuers	402800
736	96	6	Auf heißer Spur	276453
737	96	7	Ein Geschenk für Tante Mathilda	522467
738	96	8	Enttarnt	299000
739	97	1	Panik	521253
740	97	2	Albträume	608507
741	97	3	Parasiten	532000
742	97	4	Blutsauger	367147
743	97	5	Beklemmung	438853
744	97	6	Zusammenführung	608120
745	97	7	Abgründe	701027
746	97	8	Erlösung	289546
747	98	1	Blackout	449000
748	98	2	Der Fluch des Adlers	540973
749	98	3	Taylor kneift	491107
750	98	4	Der Albtraum beginnt	462027
751	98	5	Das Tal des Schreckens	422626
752	98	6	Im Dickicht des Waldes	416787
753	98	7	Lauschangriff	565053
754	98	8	Seitenwechsel	424734
755	99	1	"Prime-Time"	513747
756	99	2	Kälteschauer	609360
757	99	3	Rufmord	400960
758	99	4	Reue	565693
759	99	5	Ausgetrickst	618280
760	99	6	Machtspiele	653720
761	99	7	In der Gummizelle	645947
762	99	8	Die Flügel der Nachtigall	565346
763	100	1	Botschaft von Geisterhand	490480
764	100	2	Der verschwundene Schatz	608040
765	100	3	Die Geisterinsel	481640
766	100	4	Der unsichtbare Gegner	515720
767	100	5	Gefahr im Verzug	564573
768	100	6	Das Geisterschiff	544120
769	101	1	Die Schattenmänner	500840
770	101	2	Der rasende Löwe	569787
771	101	3	Der Doppelgänger	607213
772	101	4	Der magische Kreis	510133
773	101	5	Das Narbengesicht	734920
774	101	6	Nacht in Angst	453907
775	102	1	Verdeckte Fouls	618853
776	102	2	Die Rache des Tigers	397880
777	102	3	Die rätselhaften Bilder	668907
778	102	4	Das Geheimnis der Särge	549693
779	102	5	Dreckiger Deal	486267
780	102	6	Tödliche Spur	688893
781	103	1	Stromstoß	582613
782	103	2	Der allerneueste Schrei	280787
783	103	3	Teuflische SMS	536693
784	103	4	Blutige Finger	487000
785	103	5	Abgrundtiefe Stimme	507774
786	103	6	Verfluchtes Handy	501026
787	103	7	Monique Carrera	550147
788	103	8	Hokus-Pokus	867413
789	104	1	Der Eindringling	318373
790	104	2	Die ungleichen Brüder	550347
791	104	3	Einbruch bei einem Dieb	467640
792	104	4	Hochwertige Ergebnisse	444960
793	104	5	Der gestohlene Spiegel	398453
794	104	6	Videorätsel	324267
795	104	7	Verwirrspiel	570213
796	104	8	Aller guten Dinge	486427
797	105	1	Brittany	427240
798	105	2	Grüße aus dem Jenseits	651413
799	105	3	Das Bilderrätsel	459694
800	105	4	Alarm	363253
801	105	5	Geistlicher Beistand	906013
802	105	6	Abbild und Wirklichkeit	220520
803	105	7	Abwärts	402147
804	105	8	Klartext	379907
805	106	1	Detektiv gesucht	745920
806	106	2	Gift per E-Mail	374027
807	106	3	Eine Qualle für Tom	294506
808	106	4	Ein Fall für Dick Perry	337174
809	106	5	Toms Rätsel	665253
810	106	6	Pelagia noctiluca	532453
811	106	7	Des Rätsels Lösung	482400
812	106	8	Falsches Spiel	706387
813	107	1	Ruhestörung	570107
814	107	2	Das Phantom vom Nebelberg	893920
815	107	3	Gruselgeschichten	446800
816	107	4	Das Grauen schlägt zu	272586
817	107	5	Gold	730040
818	107	6	Das Herz des Berges	371840
819	107	7	Die Stunde der Wahrheit	578920
820	107	8	Weckruf	681080
821	108	1	Saturday Night Fever	568547
822	108	2	Disco-Inferno	638240
823	108	3	Mit dem Teufel im Bunde	328040
824	108	4	"Devil-Dancer"	594853
825	108	5	Die Kutte des Satans	357173
826	108	6	Massensuggestion	463174
827	108	7	Die letzte Ruhestätte	878960
828	108	8	Tödliches Abgas	426226
829	109	1	Das geheimnisvolle Kästchen	661440
830	109	2	Der Messerwerfer	415560
831	109	3	Erwischt	519280
832	109	4	Die Vision	508173
833	109	5	Treffpunkt "Bookstore"	298560
834	109	6	Wiedergeburt	499774
835	109	7	Im buddhistischen Zentrum	294160
836	109	8	Das Geheimnis des Kästchens	653893
837	110	1	Die sieben Tore	539480
838	110	2	Ein seltsamer Zeitgenosse	135080
839	110	3	Nächtliche Begegnung	682053
840	110	4	Der Brief	374947
841	110	5	Rhetorische Meisterleistung	150707
842	110	6	Labiler Zustand	686693
843	110	7	Der heilige Skarabäus	443093
844	110	8	Soo-Ann	278814
845	110	9	Erinnerung	713613
846	111	1	"Wer knackt die Nuss?"	843213
847	111	2	Auf Sendung	593654
848	111	3	24 Stunden Galgenfrist	341080
849	111	4	Rätsel-Leichen	429013
850	111	5	"Jack, the Riddler"	410600
851	111	6	Namen und Symbole	376600
852	111	7	Von den Toten auferstanden	479973
853	111	8	Wer zuletzt lacht …	553400
854	112	1	Das Monster im Park	406400
855	112	2	Lauft!	624173
856	112	3	Nicht von dieser Welt	438307
857	112	4	Die Hypothese	587293
858	112	5	Seuchenalarm	485560
859	112	6	Justus lässt nicht locker	148240
860	112	7	Kombinationsgabe	201027
861	112	8	Im Tunnel	419573
862	113	1	Die Geisterburg	259413
863	113	2	Überraschung im Zug	154640
864	113	3	Starke Nerven	175667
865	113	4	Der Wilderer	140133
866	113	5	Der schwarze Vogel	403654
867	113	6	Teufelsbraten mit Soße	261893
868	113	7	Das pure Entsetzen	695720
869	113	8	Bis ins kleinste Detail	89253
870	113	9	Wo ist Blackeye?	241734
871	113	10	Gespensterjäger	247546
872	113	11	Von der Außenwelt abgeschnitten	208507
873	113	12	Der schwarze Henker	249840
874	113	13	Sprung über den Abgrund	486813
875	113	14	Gut gemacht, Justus Jonas!	291787
876	114	1	Unternehmensphilosophie	164520
877	114	2	Ein Gaul namens "Lady"	304427
878	114	3	Die erste Feder	173933
879	114	4	Die zweite Feder	84120
880	114	5	Ein Fachmann indianischer Kultur	536920
881	114	6	Schlucht der Dämonen	151507
882	114	7	Die dritte Feder	444253
883	114	8	Von Kakteen umgeben	94360
884	114	9	Überfall	262533
885	114	10	Kriegstrommeln	297640
886	114	11	Justus flucht	195627
887	114	12	Eine alte Indianer-Sage	155307
888	114	13	Sturz in die Schlucht	664520
889	115	1	Luftangriff	265867
890	115	2	Von Drachen und Trollen	163026
891	115	3	Blühende Fantasie	390854
892	115	4	Das Reich der Elfenkönigin	179573
893	115	5	Der Gerechte	597560
894	115	6	Nestor natabilis	143000
895	115	7	Worum geht es?	164160
896	115	8	Eine gewisse Ähnlichkeit	211147
897	115	9	Ratlos	111066
898	115	10	Geldgierige Neffen	215520
899	115	11	Emilys Drache	214854
900	115	12	Mit anderen Augen	402693
901	115	13	Der verzauberte Schatz	107920
902	115	14	Das Auge des Drachen	440160
903	116	1	Ein Problem	234147
904	116	2	Besuch im Märchenschloss	616560
905	116	3	Tante Mathildas Versprechen	109786
906	116	4	Séance	355254
907	116	5	In Luft aufgelöst	470520
908	116	6	Die Sache stinkt	381240
909	116	7	Sodom und Gomorrha	269600
910	116	8	Phantomstimmen	270346
911	116	9	Und der Mörder ist …	270227
912	116	10	Das Testament	143840
913	116	11	Im Keller eines Fans	309840
914	116	12	Cinderella	719120
915	117	1	Ein alter Bekannter	519307
916	117	2	Diebesgut	161640
917	117	3	Ein paar Jahre auf dem Buckel	91453
918	117	4	Entwischt	199253
919	117	5	Kindheitsträume	108574
920	117	6	Zeichen und Symbole	111386
921	117	7	Neugierige Rechtsanwältin	80734
922	117	8	Wichtige Information	94880
923	117	9	Das Gemälde mit dem Schiff	92706
924	117	10	Schlüssel zur Herkunft	415760
925	117	11	Der Gründer von "Rothman-Oil"	819974
926	117	12	Herzanfall	354493
927	117	13	Entscheidende Phase	292733
928	117	14	Einbruch	84960
929	117	15	Die letzte Fahrt der "Gwendolyn"	772774
930	118	1	Schwierigkeiten	276147
931	118	2	Autounfall	1279586
932	118	3	Ω, 4-14	157547
933	118	4	Verschlüsselt	294587
934	118	5	Abhauen!	256706
935	118	6	"Memory"	389960
936	118	7	Co.B.Ra	564574
937	118	8	Babylonia	322826
938	118	9	Rumpelstilzchenfaktor	182960
939	119	1	Kommt ein Koffer geflogen …	632720
940	119	2	Feuer!	204187
941	119	3	Hinterher!	334333
942	119	4	Kontrolle ist besser	585347
943	119	5	Der Pakt	600213
944	119	6	Operation Geldkoffer	151320
945	119	7	Reisepläne	93320
946	119	8	In der Klemme	463987
947	119	9	Verschwunden	130920
948	119	10	Falschgeld	173813
949	119	11	Ein ehrlicher Staatsbürger	269867
950	120	1	Erwischt	398720
951	120	2	Der Chef	163240
952	120	3	Islamisches Heiligtum	361267
953	120	4	Ein Pflegefall	180306
954	120	5	Im Geisterhaus	214067
955	120	6	"Fly" – die Fliege	217947
956	120	7	Die Maske des Steinzeitmenschen	257853
957	120	8	Die einzig existierende Textvorlage	168387
958	120	9	Feuer!	321666
959	120	10	Ein wichtiges Detail	428760
960	120	11	"Dime ahora …"	169227
961	120	12	Pressemitteilung	62400
962	120	13	Premiere	1052573
963	121	1	Ein Hilferuf	557187
964	121	2	Errare humanum est	577546
965	121	3	Ist Sherlock Holmes zuhause?	217974
966	121	4	Die Telefonlawine	728213
967	121	5	Blackbeard	345253
968	121	6	Ein spezial gelagerter Sonderfall	251480
969	121	7	Sterbenskrank	243734
970	121	8	Skinny Norris	257600
971	121	9	Robin Hood	239453
972	122	1	Ein gerissener Kunstdieb	692667
973	122	2	Al Capone	286080
974	122	3	Baker Street in London	199133
975	122	4	Auf dem Friedhof	631520
976	122	5	Wo sind die Papageien?	172284
977	123	1	Wertvolle Sammlerstücke	196320
978	123	2	Ein original Mobimec	399640
979	123	3	Drei fanatische Sammler	184587
980	123	4	Schlupfkrabbler	164053
981	123	5	Erdbebensicher	411360
982	123	6	Raus aus der Schusslinie	163973
983	123	7	Was ist in der Kiste?	139600
984	123	8	Der kreative Kopf der Firma	617747
985	123	9	Roboter	44933
986	123	10	Rohrpost der besonderen Art	630627
987	123	11	Die Stadt der Engel	156280
988	123	12	Im Dämmerlicht der Kirche	204867
989	123	13	Zahlenrätsel	244293
990	123	14	Kostenlose Werbung	505160
991	124	1	Panik!	265680
992	124	2	Der Lebensretter	281907
993	124	3	Mehrere Todesopfer	369840
994	124	4	Im Tropeninstitut	571160
995	124	5	Deep Throat	274586
996	124	6	Feueralarm	393040
997	124	7	Von Gifttieren attackiert	232147
998	124	8	Notruf	440333
999	124	9	Die Lösung	166120
1000	124	10	Purer Sand	257174
1001	124	11	Einfache Logik	276266
1002	125	1	Der Phantom-Anwalt	553040
1003	125	2	Der Untergang der Liberty Bell	362640
1004	125	3	Erfolgreiche Recherche	368227
1005	125	4	Folgenschwerer Anruf	121080
1006	125	5	Mysteriöses Testament	390280
1007	125	6	Held ohne Ehre	296533
1008	125	7	Beschattet	225707
1009	125	8	O'Malley's Rock	246160
1010	125	9	Der zweite Fall	352960
1011	125	10	Leviathan	460800
1012	125	11	Das Geisterhaus am Meer	225093
1013	125	12	Ein schreckliches Geheimnis	164920
1014	125	13	Jagd auf den Unbekannten	150720
1015	126	1	Feindbesuch	327707
1016	126	2	Die Geliebte des Globetrotters	248120
1017	126	3	Apelles post tabulam	209160
1018	126	4	Monsterbesuche	605266
1019	126	5	Einbruch in der Zentrale!	221600
1020	126	6	Der Mikrochip	458067
1021	126	7	Die Zeit läuft ab	401893
1022	126	8	Das Seeungeheuer	180720
1023	126	9	Versteck in den Felsen	172747
1024	126	10	Die Falle schnappt zu	480320
1025	126	11	Tödliche Fluten	190947
1026	126	12	Alle vereint	410546
1027	126	13	Das Rätsel aller Rätsel	168520
1028	127	1	Aus den Träumen gerissen	186960
1029	127	2	Vom Blitz getroffen!	691640
1030	127	3	Tödliche Bowle	396013
1031	127	4	Unsichtbarer Mitbewohner	529040
1032	127	5	Spielverderber	296067
1033	127	6	Abgelehnt	102293
1034	127	7	Albtraum	576960
1035	127	8	Schlachtplan	183574
1036	127	9	Film ab!	466400
1037	127	10	Überreagiert	311960
1038	127	11	Erstens kommt es anders …	761386
1039	127	12	… und zweitens, als man denkt	131720
1040	128	1	Start in den Traumurlaub	219400
